Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0116421064959206,-1.57531536043144E-05,0.0229823586619881,0,0,0,2.24756670666722,0.00788833588895297,1.59481545353377E-07,0.000733932077942135,0.00652199128909781,2.90926203156588E-07,0.0130391055308841,0,0,0,0,0,0,package://arena_model/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arena_model/meshes/base_link.STL,,101-baseLink-1,base_link,LB_axis,LB_wheel_joint,continuous,-0.051575,0.1185,0.017,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
RF_wheel_link,2.77555756156289E-17,0.0144155178676929,1.38777878078145E-17,0,0,0,0.12660325610778,5.54515308491946E-05,9.8493461627243E-21,5.09596618673687E-20,0.000103691650811599,2.67643313336152E-21,5.54515308491945E-05,0,0,0,0,0,0,package://arena_model/meshes/RF_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arena_model/meshes/RF_wheel_link.STL,,102-wheelLink-4,RF_wheel_link,RF_axis,RF_wheel_joint,continuous,0.0784235230362508,-0.1185,0.017,0,0,0,base_link,0,1,0,,,,,,,,,,,,
RB_wheel_link,6.93889390390723E-18,0.0144155178676929,1.73472347597681E-17,0,0,0,0.12660325610778,5.54515308491959E-05,6.62179075999811E-21,4.71426805732122E-20,0.000103691650811599,6.86755842269828E-21,5.54515308491959E-05,0,0,0,0,0,0,package://arena_model/meshes/RB_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arena_model/meshes/RB_wheel_link.STL,,102-wheelLink-3,RB_wheel_link,RB_axis,RB_wheel_joint,continuous,-0.0515749621984941,-0.1185,0.0170000000000001,0,0,0,base_link,0,1,0,,,,,,,,,,,,
LF_wheel_link,1.38777878078145E-17,-0.0144155178676929,-6.93889390390723E-18,0,0,0,0.12660325610778,5.54515308491946E-05,1.11484803111754E-20,3.63166728901572E-20,0.000103691650811599,-6.59731186397094E-22,5.54515308491945E-05,0,0,0,0,0,0,package://arena_model/meshes/LF_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arena_model/meshes/LF_wheel_link.STL,,102-wheelLink-1,LF_wheel_link,LF_axis,LF_wheel_joint,continuous,0.0784235230362503,0.1185,0.017,0,0,0,base_link,0,1,0,,,,,,,,,,,,
LB_wheel_link,-2.08166817117217E-17,-0.0144155178676929,-1.04083408558608E-17,0,0,0,0.12660325610778,5.54515308491946E-05,1.12631967112259E-20,5.00675004197287E-20,0.000103691650811599,-9.84080184560722E-22,5.54515308491945E-05,0,0,0,0,0,0,package://arena_model/meshes/LB_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arena_model/meshes/LB_wheel_link.STL,,102-wheelLink-2,LB_wheel_link,LB_axis,LB_wheel_joint,continuous,-0.0515749621984946,0.1185,0.017,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
camera_link,-0.02029,-5.2404E-18,-3.4694E-18,0,0,0,0.074292,6.2516E-06,1.4512E-22,-9.4055E-23,9.6017E-06,-6.6667E-23,1.1416E-05,0,0,0,0,0,0,package://arena_model/meshes/camera_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://arena_model/meshes/camera_link.STL,,015-摄像头-1,camera_link,Axis_camera_joint,camera_joint,fixed,-0.0854500682801336,0,0.021,0,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
R_range_link,-0.0081193,-0.00018838,-0.01098,0,0,0,0.0042661,4.0735E-07,-1.0722E-10,-6.311E-10,4.0797E-07,-1.6467E-11,1.08E-07,0,0,0,0,0,0,package://arena_model/meshes/R_range_link.STL,0.18039,0.18039,0.18039,1,0,0,0,0,0,0,package://arena_model/meshes/R_range_link.STL,,006-GP2Y0A21_10-80-2,R_range_link,Axis_R_range_joint,R_range_joint,fixed,0.0127112996311823,-0.1125,0.0392366,0,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
L_range_link,-0.0070193,0.00018838,-0.010032,0,0,0,0.0042661,4.0735E-07,1.0722E-10,6.311E-10,4.0797E-07,-1.6467E-11,1.08E-07,0,0,0,0,0,0,package://arena_model/meshes/L_range_link.STL,0.18039,0.18039,0.18039,1,0,0,0,0,0,0,package://arena_model/meshes/L_range_link.STL,,006-GP2Y0A21_10-80-1,L_range_link,Axis_L_range_joint,L_range_joint,fixed,0.0123868089774774,0.1114,0.0382478433671816,0,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
RF_range_link,-0.00731934334227206,-0.000188378653789074,-0.0109796493363324,0,0,0,0.00426614745709292,4.07348519263312E-07,-1.07222949743676E-10,-6.31099022040258E-10,4.07971772782718E-07,-1.64673276880206E-11,1.07995575989039E-07,0,0,0,0,0,0,package://arena_model/meshes/RF_range_link.STL,0.180392156862745,0.180392156862745,0.180392156862745,1,0,0,0,0,0,0,package://arena_model/meshes/RF_range_link.STL,,006-GP2Y0A21_10-80-4,RF_range_link,Axis_RF_range_joint,RF_range_joint,fixed,0.095464280418878,-0.0534999999999997,0.0515,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RB_range_link,-0.0070193,0.00018838,-0.010032,0,0,0,0.0042661,4.0735E-07,1.0722E-10,6.311E-10,4.0797E-07,-1.6467E-11,1.08E-07,0,0,0,0,0,0,package://arena_model/meshes/RB_range_link.STL,0.18039,0.18039,0.18039,1,0,0,0,0,0,0,package://arena_model/meshes/RB_range_link.STL,,006-GP2Y0A21_10-80-7,RB_range_link,Axis_RB_range_joint,RB_range_joint,fixed,0.114521325155332,-0.0644999999999997,0.0252207965630269,0,0.785398163397454,0,base_link,0,0,0,,,,,,,,,,,,
